Uso da CPU (%),Data e Hora,Nome do Programa
14.39,"2024-10-05 19:03:28.271908800 -03:00",monitor_cpu.exe
14.06,"2024-10-05 19:03:28.350959900 -03:00",monitor_cpu.exe
9.87,"2024-10-05 19:03:28.992194700 -03:00",monitor_cpu.exe
8.64,"2024-10-05 19:03:29.260891900 -03:00",monitor_cpu.exe
8.59,"2024-10-05 19:03:29.289457700 -03:00",monitor_cpu.exe
7.63,"2024-10-05 19:03:29.366656500 -03:00",monitor_cpu.exe
8.05,"2024-10-05 19:03:30.012339800 -03:00",monitor_cpu.exe
14.33,"2024-10-05 19:03:30.277929400 -03:00",Spotify.exe
14.65,"2024-10-05 19:03:30.307949800 -03:00",Spotify.exe
15.71,"2024-10-05 19:03:30.383596400 -03:00",Spotify.exe
15.69,"2024-10-05 19:03:31.029400500 -03:00",Spotify.exe
8.72,"2024-10-05 19:03:31.292228800 -03:00",monitor_cpu.exe
8.54,"2024-10-05 19:03:31.330089600 -03:00",monitor_cpu.exe
7.81,"2024-10-05 19:03:31.401415100 -03:00",monitor_cpu.exe
6.90,"2024-10-05 19:03:32.043708300 -03:00",monitor_cpu.exe
9.97,"2024-10-05 19:03:32.311276400 -03:00",monitor_cpu.exe
10.64,"2024-10-05 19:03:32.350072900 -03:00",explorer.exe
11.65,"2024-10-05 19:03:32.417622200 -03:00",explorer.exe
9.59,"2024-10-05 19:03:33.059443800 -03:00",explorer.exe
7.00,"2024-10-05 19:03:33.326769400 -03:00",Taskmgr.exe
6.12,"2024-10-05 19:03:33.366947400 -03:00",Taskmgr.exe
4.87,"2024-10-05 19:03:33.436332700 -03:00",explorer.exe
6.27,"2024-10-05 19:03:34.076917 -03:00",Taskmgr.exe
8.63,"2024-10-05 19:03:34.356609200 -03:00",monitor_cpu.exe
10.29,"2024-10-05 19:03:34.394593500 -03:00",monitor_cpu.exe
12.76,"2024-10-05 19:03:34.464074800 -03:00",monitor_cpu.exe
18.33,"2024-10-05 19:03:35.092298300 -03:00",monitor_cpu.exe
17.20,"2024-10-05 19:03:35.376541700 -03:00",monitor_cpu.exe
15.71,"2024-10-05 19:03:35.411750600 -03:00",chrome.exe
13.51,"2024-10-05 19:03:35.483192 -03:00",monitor_cpu.exe
15.11,"2024-10-05 19:03:36.109874500 -03:00",Taskmgr.exe
14.84,"2024-10-05 19:03:36.394102 -03:00",msedgewebview2.exe
14.98,"2024-10-05 19:03:36.427821400 -03:00",monitor_cpu.exe
14.74,"2024-10-05 19:03:36.499960200 -03:00",Grammarly.Desktop.exe
14.27,"2024-10-05 19:03:37.132636300 -03:00",explorer.exe
21.01,"2024-10-05 19:03:37.418192900 -03:00",explorer.exe
22.11,"2024-10-05 19:03:37.452049700 -03:00",SnippingTool.exe
24.21,"2024-10-05 19:03:37.519883400 -03:00",explorer.exe
20.25,"2024-10-05 19:03:38.149026800 -03:00",SnippingTool.exe
12.78,"2024-10-05 19:03:38.434111500 -03:00",monitor_cpu.exe
11.57,"2024-10-05 19:03:38.469174300 -03:00",monitor_cpu.exe
9.58,"2024-10-05 19:03:38.533735300 -03:00",monitor_cpu.exe
9.99,"2024-10-05 19:03:39.169236900 -03:00",monitor_cpu.exe
10.38,"2024-10-05 19:03:39.453021200 -03:00",monitor_cpu.exe
10.24,"2024-10-05 19:03:39.488282100 -03:00",monitor_cpu.exe
10.51,"2024-10-05 19:03:39.550319500 -03:00",SnippingTool.exe
7.45,"2024-10-05 19:03:40.189563500 -03:00",SnippingTool.exe
6.95,"2024-10-05 19:03:40.468536300 -03:00",SnippingTool.exe
7.04,"2024-10-05 19:03:40.505771700 -03:00",monitor_cpu.exe
6.62,"2024-10-05 19:03:40.567873700 -03:00",monitor_cpu.exe
7.48,"2024-10-05 19:03:41.209285200 -03:00",monitor_cpu.exe
6.24,"2024-10-05 19:03:41.483869700 -03:00",monitor_cpu.exe
6.07,"2024-10-05 19:03:41.523187800 -03:00",monitor_cpu.exe
6.14,"2024-10-05 19:03:41.583813 -03:00",monitor_cpu.exe
3.74,"2024-10-05 19:03:42.229454600 -03:00",monitor_cpu.exe
4.77,"2024-10-05 19:03:42.500067500 -03:00",Taskmgr.exe
4.97,"2024-10-05 19:03:42.541821700 -03:00",monitor_cpu.exe
5.07,"2024-10-05 19:03:42.602604100 -03:00",monitor_cpu.exe
32.91,"2024-10-05 19:03:43.262750700 -03:00",chrome.exe
49.14,"2024-10-05 19:03:43.528247400 -03:00",chrome.exe
51.08,"2024-10-05 19:03:43.568775200 -03:00",chrome.exe
53.12,"2024-10-05 19:03:43.629245400 -03:00",chrome.exe
34.64,"2024-10-05 19:03:44.280894400 -03:00",monitor_cpu.exe
20.15,"2024-10-05 19:03:44.545470400 -03:00",svchost.exe
18.47,"2024-10-05 19:03:44.585118500 -03:00",monitor_cpu.exe
17.68,"2024-10-05 19:03:44.658639400 -03:00",monitor_cpu.exe
16.01,"2024-10-05 19:03:45.298760600 -03:00",explorer.exe
15.02,"2024-10-05 19:03:45.569421100 -03:00",explorer.exe
15.39,"2024-10-05 19:03:45.612651600 -03:00",explorer.exe
15.30,"2024-10-05 19:03:45.681628100 -03:00",explorer.exe
16.31,"2024-10-05 19:03:46.319937100 -03:00",explorer.exe
17.30,"2024-10-05 19:03:46.587127900 -03:00",explorer.exe
16.60,"2024-10-05 19:03:46.629951200 -03:00",explorer.exe
15.83,"2024-10-05 19:03:46.697666600 -03:00",explorer.exe
10.51,"2024-10-05 19:03:47.339226900 -03:00",msedgewebview2.exe
12.09,"2024-10-05 19:03:47.609273700 -03:00",monitor_cpu.exe
13.10,"2024-10-05 19:03:47.649334100 -03:00",audiodg.exe
13.12,"2024-10-05 19:03:47.715150700 -03:00",ipf_helper.exe
17.39,"2024-10-05 19:03:48.356030800 -03:00",chrome.exe
15.60,"2024-10-05 19:03:48.625913600 -03:00",chrome.exe
14.73,"2024-10-05 19:03:48.666037900 -03:00",chrome.exe
14.56,"2024-10-05 19:03:48.735191700 -03:00",chrome.exe
11.55,"2024-10-05 19:03:49.374847 -03:00",msedgewebview2.exe
11.67,"2024-10-05 19:03:49.642129100 -03:00",Grammarly.WebUI.exe
11.62,"2024-10-05 19:03:49.681687400 -03:00",monitor_cpu.exe
11.46,"2024-10-05 19:03:49.752891100 -03:00",Taskmgr.exe
11.67,"2024-10-05 19:03:50.393321700 -03:00",Taskmgr.exe
10.40,"2024-10-05 19:03:50.666091500 -03:00",SnippingTool.exe
10.51,"2024-10-05 19:03:50.698545900 -03:00",SnippingTool.exe
10.45,"2024-10-05 19:03:50.768551200 -03:00",SnippingTool.exe
9.87,"2024-10-05 19:03:51.411930400 -03:00",vctip.exe
10.20,"2024-10-05 19:03:51.683655600 -03:00",Taskmgr.exe
10.03,"2024-10-05 19:03:51.714907900 -03:00",monitor_cpu.exe
10.07,"2024-10-05 19:03:51.785963 -03:00",monitor_cpu.exe
14.57,"2024-10-05 19:03:52.430324600 -03:00",Taskmgr.exe
15.65,"2024-10-05 19:03:52.702433 -03:00",monitor_cpu.exe
15.94,"2024-10-05 19:03:52.732099300 -03:00",monitor_cpu.exe
16.25,"2024-10-05 19:03:52.802538900 -03:00",Taskmgr.exe
14.21,"2024-10-05 19:03:53.447981200 -03:00",msedgewebview2.exe
13.74,"2024-10-05 19:03:53.724253600 -03:00",msedgewebview2.exe
13.84,"2024-10-05 19:03:53.755984 -03:00",monitor_cpu.exe
13.74,"2024-10-05 19:03:53.818172800 -03:00",Taskmgr.exe
9.28,"2024-10-05 19:03:54.464288700 -03:00",Taskmgr.exe
8.63,"2024-10-05 19:03:54.740256800 -03:00",Taskmgr.exe
8.20,"2024-10-05 19:03:54.771871600 -03:00",Taskmgr.exe
7.80,"2024-10-05 19:03:54.835173 -03:00",Taskmgr.exe
9.68,"2024-10-05 19:03:55.481587900 -03:00",SnippingTool.exe
8.44,"2024-10-05 19:03:55.758639800 -03:00",monitor_cpu.exe
8.50,"2024-10-05 19:03:55.789624700 -03:00",monitor_cpu.exe
